user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
723,13,38,42,5,9,46,44,32,10,34,0.7405724092543005,0.3502850145414877,0.2894560604914336,0.2000718021862013,0.1481772030252355,0.0979398038504438,0.0740886015126178,0.0433390536157541,0.0433390536157541,0.0
724,13,32,9,46,5,44,38,16,42,47,0.7493130131417785,0.48618736399731,0.4723177560562879,0.4585954451758768,0.3418973987370062,0.2563044506533691,0.2461170068756794,0.2461170068756794,0.2222658045378533,0.2000718021862013
725,13,46,9,44,5,47,42,6,38,31,0.7211682762167897,0.4428483103815558,0.3599210181038771,0.2820816016374298,0.2656048581536075,0.2461170068756794,0.2406344072853893,0.2406344072853893,0.207993000124812,0.207993000124812
726,13,9,38,4,42,46,5,16,47,44,0.7800384411563354,0.3599210181038771,0.302834405643029,0.2996435042691232,0.2699682092135054,0.2610557776673281,0.2563044506533691,0.2153674589788157,0.1822158491407513,0.1720284053630616
727,13,42,9,46,38,44,31,5,10,17,0.9413745322962926,0.8553502693382674,0.6820443476621331,0.6542992032215452,0.5544654449155736,0.5414646181231102,0.4791758503408944,0.4578608219543209,0.4525720343083179,0.427356709889726
728,13,42,46,9,10,5,38,16,47,44,0.7570341961498399,0.3202056083882972,0.2929608747429167,0.2894560604914336,0.2153674589788157,0.207993000124812,0.1720284053630616,0.1720284053630616,0.1607667087441261,0.1481772030252355
729,13,9,46,38,42,5,44,4,47,17,0.8273319101047455,0.7585933211180875,0.6613367869410142,0.6584417467341591,0.6178878235387234,0.5908132248405072,0.536636630948088,0.525883270518239,0.5210964740305885,0.5169369118941738
730,13,8,29,24,9,16,46,40,5,42,0.6638340126972777,0.6504771286958374,0.513049674129242,0.4964262082366725,0.3670494762555346,0.3351443791799459,0.2858324165912593,0.2513320537405661,0.207993000124812,0.2000718021862013
731,13,9,38,4,46,42,44,16,5,47,0.8634425257334524,0.6103718858315178,0.4486274074102014,0.4385202997941205,0.4159860002496241,0.4032600717196313,0.346173459258783,0.3228449340406581,0.3202056083882972,0.3174994573145732
732,13,46,16,9,5,44,1,42,38,31,0.7759070183535013,0.373732105781741,0.3228449340406581,0.3174994573145732,0.2406344072853893,0.2348553102567439,0.2222658045378533,0.2153674589788157,0.2000718021862013,0.1822158491407513
