movie_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id
249,3659.0,448.0,3358.0,3298.0,3995.0
250,342.0,4234.0,4658.0,4549.0,4266.0
251,3243.0,2121.0,2727.0,4756.0,4208.0
252,1456.0,1437.0,569.0,3339.0,3801.0
253,659.0,320.0,4062.0,1088.0,3475.0
254,1404.0,1723.0,717.0,4006.0,1289.0
255,224.0,593.0,1723.0,1193.0,3753.0
256,339.0,97.0,3556.0,4543.0,3553.0
257,3836.0,3590.0,4482.0,3500.0,391.0
258,3323.0,4297.0,4838.0,3639.0,250.0
259,694.0,461.0,213.0,4745.0,517.0
260,4199.0,4260.0,4557.0,4056.0,346.0
261,4734.0,124.0,604.0,1210.0,4685.0
262,177.0,3804.0,1367.0,3816.0,292.0
263,280.0,455.0,14.0,4564.0,3802.0
264,3512.0,3640.0,226.0,707.0,4368.0
265,131.0,2653.0,9.0,1988.0,587.0
266,4572.0,3886.0,557.0,4567.0,4843.0
267,4401.0,3218.0,4754.0,4477.0,4644.0
268,250.0,2242.0,770.0,4560.0,4089.0
269,249.0,4298.0,1665.0,4416.0,4590.0
270,299.0,14.0,378.0,160.0,1425.0
271,4152.0,3406.0,97.0,1441.0,132.0
272,100.0,747.0,28.0,1060.0,232.0
273,4192.0,4350.0,4650.0,3856.0,3987.0
274,3983.0,450.0,4533.0,4820.0,3436.0
275,151.0,2.0,320.0,4405.0,4778.0
276,3311.0,476.0,264.0,334.0,4745.0
277,2101.0,720.0,4316.0,4268.0,4509.0
278,661.0,3618.0,1015.0,4681.0,155.0
279,2344.0,4246.0,1437.0,2556.0,1332.0
280,1367.0,153.0,3287.0,4724.0,2594.0
281,2630.0,3058.0,4088.0,424.0,4860.0
282,2908.0,630.0,2643.0,188.0,4243.0
283,4185.0,4252.0,1698.0,1899.0,708.0
284,4347.0,569.0,4069.0,1244.0,291.0
285,200.0,151.0,4738.0,329.0,4459.0
286,4667.0,4648.0,773.0,4028.0,1572.0
287,3597.0,3677.0,3477.0,292.0,4169.0
288,131.0,1788.0,1623.0,4804.0,4223.0
289,2854.0,4271.0,3237.0,4019.0,3541.0
290,3129.0,575.0,3940.0,4700.0,4654.0
291,1170.0,2966.0,4676.0,3810.0,136.0
292,149.0,637.0,341.0,562.0,2169.0
293,4750.0,4562.0,386.0,3670.0,4749.0
294,4713.0,1833.0,205.0,3908.0,4470.0
295,258.0,3688.0,4100.0,226.0,4305.0
296,1931.0,4697.0,3431.0,4695.0,2398.0
297,705.0,3752.0,1210.0,3668.0,3705.0
298,536.0,3692.0,3950.0,4230.0,3800.0
299,851.0,3478.0,3849.0,3829.0,4051.0
300,59.0,4469.0,4847.0,3387.0,4150.0
301,1038.0,4042.0,3883.0,70.0,4228.0
302,3468.0,3377.0,4235.0,1642.0,851.0
303,4621.0,3527.0,3439.0,1785.0,4222.0
304,4263.0,865.0,4815.0,3299.0,4724.0
305,187.0,3022.0,3654.0,4102.0,4179.0
306,656.0,3677.0,3310.0,3260.0,1098.0
307,2314.0,3512.0,1777.0,3592.0,3847.0
308,1456.0,237.0,1437.0,828.0,548.0
309,4294.0,3602.0,4411.0,2910.0,2083.0
310,200.0,4331.0,3472.0,3999.0,3601.0
311,602.0,4406.0,4666.0,4515.0,3503.0
312,350.0,747.0,1590.0,2343.0,4275.0
313,335.0,624.0,200.0,4224.0,4240.0
314,3568.0,1468.0,1818.0,573.0,566.0
315,4851.0,370.0,4061.0,3301.0,540.0
316,1665.0,113.0,3611.0,2498.0,3638.0
317,4505.0,1763.0,4144.0,3401.0,245.0
318,3502.0,517.0,336.0,508.0,305.0
319,171.0,222.0,4080.0,620.0,4421.0
320,244.0,1818.0,2251.0,3921.0,410.0
321,564.0,4348.0,1060.0,790.0,4840.0
322,765.0,1564.0,1067.0,3281.0,770.0
323,71.0,492.0,4203.0,3748.0,1408.0
324,2586.0,4255.0,4612.0,4341.0,3761.0
325,2131.0,1876.0,4066.0,4029.0,3701.0
326,1553.0,4689.0,4627.0,4575.0,4120.0
327,93.0,1570.0,3780.0,4121.0,4278.0
328,3246.0,3469.0,4251.0,3291.0,4569.0
329,373.0,4329.0,295.0,4044.0,4285.0
330,656.0,305.0,2879.0,4554.0,3463.0
331,3055.0,299.0,4017.0,3747.0,4026.0
332,152.0,757.0,4291.0,4133.0,4770.0
333,634.0,317.0,706.0,531.0,97.0
334,706.0,694.0,461.0,3802.0,4224.0
335,3749.0,3282.0,4507.0,3960.0,3944.0
336,784.0,1862.0,4529.0,731.0,1230.0
337,2507.0,4057.0,542.0,2347.0,4445.0
338,2453.0,4033.0,680.0,1553.0,339.0
339,687.0,2845.0,2630.0,4851.0,3815.0
340,213.0,469.0,3675.0,4732.0,4640.0
341,3113.0,525.0,2503.0,3796.0,100.0
342,1372.0,1833.0,4851.0,4022.0,1444.0
343,3022.0,1088.0,4338.0,3918.0,4039.0
344,131.0,4758.0,4839.0,4168.0,4608.0
345,1214.0,3711.0,3970.0,3324.0,4718.0
346,784.0,398.0,3274.0,2429.0,557.0
347,4147.0,4632.0,1267.0,4039.0,4659.0
348,335.0,2928.0,3948.0,650.0,44.0
349,94.0,2698.0,1490.0,431.0,4791.0
350,264.0,4379.0,3476.0,3537.0,3350.0
351,3353.0,3912.0,3292.0,4614.0,4520.0
352,74.0,315.0,3345.0,3636.0,2272.0
353,784.0,3936.0,1635.0,2681.0,1988.0
