cast_id,user_id,watch_count,normalized_watch_count
151,558,27,0.24870304119438813
151,561,96,0.5488286334476143
151,562,95,0.5463255176283283
151,563,44,0.36330766157664784
151,565,16,0.12817246604004318
151,566,63,0.4483860228965878
151,567,36,0.31602584966030967
151,568,19,0.1674286721131668
151,569,39,0.3348573442263336
151,570,41,0.3466425359261287
151,571,47,0.37889684551516145
151,572,40,0.34082180812802765
151,573,25,0.23080237057393804
151,574,13,0.08127436908122132
151,576,38,0.3287418653056786
151,577,34,0.30260303463730076
151,578,53,0.4073471628654759
151,579,28,0.257179297382797
151,580,34,0.30260303463730076
151,582,32,0.2883901992372403
151,583,18,0.15503885302643294
151,584,38,0.3287418653056786
151,585,39,0.3348573442263336
151,586,40,0.34082180812802765
151,587,57,0.4246079694959638
151,588,21,0.19045070450549972
151,589,27,0.24870304119438813
151,590,48,0.38387740371852197
151,591,81,0.5082504802411946
151,592,29,0.2653681668449074
151,593,68,0.46655612858675954
151,594,26,0.2399184907523091
151,595,55,0.41613171330755505
151,598,21,0.19045070450549972
151,599,39,0.3348573442263336
151,600,32,0.2883901992372403
151,601,41,0.3466425359261287
151,602,38,0.3287418653056786
151,603,45,0.36861663385501886
151,604,39,0.3348573442263336
151,605,37,0.32246752513959975
151,606,41,0.3466425359261287
